iter	Passed	Remaining
0	29	146161
1	62	155071
2	95	159490
3	124	155570
4	159	158956
5	193	160664
6	226	161409
7	260	162495
8	293	162863
9	326	162877
10	356	161850
11	389	162063
12	420	161383
13	455	162050
14	488	162292
15	517	161068
16	548	160652
17	581	160914
18	612	160677
19	642	160096
20	674	159968
21	707	160043
22	740	160174
23	770	159703
24	801	159537
25	832	159313
26	862	158950
27	894	158764
28	924	158472
29	954	158186
30	985	157901
31	1015	157673
32	1045	157308
33	1077	157391
34	1109	157437
35	1141	157348
36	1173	157434
37	1203	157183
38	1236	157339
39	1271	157645
40	1299	157156
41	1332	157344
42	1363	157211
43	1397	157447
44	1430	157499
45	1462	157490
46	1492	157336
47	1520	156838
48	1553	156918
49	1584	156910
50	1616	156828
51	1646	156663
52	1676	156493
53	1706	156305
54	1737	156198
55	1769	156185
56	1800	156125
57	1830	155964
58	1861	155852
59	1892	155800
60	1924	155856
61	1957	155893
62	1989	155942
63	2022	155989
64	2054	155985
65	2084	155821
66	2117	155894
67	2148	155849
68	2181	155867
69	2213	155926
70	2245	155916
71	2277	155878
72	2308	155788
73	2341	155873
74	2374	155914
75	2407	155958
76	2437	155871
77	2471	155933
78	2500	155782
79	2531	155657
80	2564	155737
81	2595	155669
82	2626	155603
83	2659	155669
84	2691	155637
85	2723	155636
86	2756	155664
87	2786	155538
88	2815	155335
89	2846	155289
90	2877	155238
91	2906	155038
92	2937	154998
93	2969	155008
94	3002	155039
95	3036	155127
96	3069	155145
97	3101	155116
98	3132	155094
99	3165	155130
100	3199	155191
101	3227	155006
102	3257	154891
103	3289	154866
104	3322	154894
105	3352	154796
106	3383	154730
107	3417	154791
108	3448	154741
109	3480	154711
110	3509	154582
111	3540	154507
112	3572	154516
113	3606	154566
114	3639	154591
115	3669	154490
116	3700	154459
117	3732	154413
118	3763	154375
119	3793	154257
120	3823	154188
121	3856	154181
122	3887	154144
123	3917	154052
124	3950	154077
125	3980	153970
126	4012	153969
127	4043	153914
128	4076	153928
129	4107	153869
130	4139	153859
131	4170	153812
132	4201	153739
133	4233	153747
134	4267	153794
135	4300	153797
136	4331	153756
137	4361	153661
138	4392	153617
139	4424	153589
140	4456	153574
141	4488	153551
142	4518	153475
143	4551	153477
144	4581	153404
145	4613	153394
146	4644	153331
147	4674	153250
148	4704	153173
149	4734	153092
150	4767	153097
151	4799	153091
152	4831	153045
153	4862	153003
154	4892	152923
155	4921	152819
156	4952	152775
157	4984	152754
158	5015	152707
159	5047	152701
160	5078	152640
161	5106	152512
162	5137	152443
163	5167	152372
164	5198	152329
165	5228	152247
166	5258	152173
167	5290	152157
168	5324	152191
169	5353	152115
170	5384	152069
171	5416	152028
172	5446	151964
173	5478	151957
174	5509	151892
175	5540	151872
176	5573	151866
177	5606	151876
178	5637	151834
179	5669	151822
180	5699	151750
181	5729	151686
182	5759	151614
183	5792	151600
184	5823	151579
185	5852	151482
186	5884	151465
187	5915	151409
188	5946	151380
189	5979	151383
190	6008	151292
191	6040	151256
192	6071	151222
193	6102	151189
194	6134	151148
195	6166	151138
196	6196	151070
197	6228	151064
198	6258	150997
199	6291	151003
200	6324	151002
201	6354	150935
202	6384	150864
203	6414	150803
204	6445	150768
205	6476	150712
206	6507	150670
207	6539	150653
208	6569	150595
209	6600	150554
210	6632	150536
211	6667	150582
212	6697	150514
213	6727	150455
214	6757	150383
215	6789	150371
216	6819	150306
217	6851	150297
218	6881	150238
219	6913	150222
220	6943	150152
221	6973	150078
222	7003	150033
223	7033	149968
224	7067	149991
225	7097	149936
226	7129	149905
227	7159	149849
228	7190	149812
229	7220	149754
230	7250	149697
231	7283	149694
232	7314	149653
233	7346	149639
234	7378	149616
235	7409	149563
236	7438	149500
237	7468	149432
238	7500	149416
239	7530	149354
240	7562	149339
241	7598	149386
242	7631	149392
243	7662	149365
244	7696	149374
245	7728	149353
246	7759	149307
247	7789	149248
248	7819	149195
249	7853	149210
250	7883	149151
251	7915	149135
252	7946	149101
253	7976	149047
254	8009	149042
255	8039	148983
256	8069	148932
257	8103	148941
258	8133	148878
259	8168	148921
260	8199	148873
261	8230	148837
262	8260	148785
263	8290	148723
264	8321	148688
265	8351	148639
266	8384	148635
267	8417	148628
268	8447	148570
269	8479	148553
270	8510	148510
271	8540	148462
272	8565	148304
273	8597	148296
274	8629	148263
275	8658	148203
276	8686	148112
277	8720	148115
278	8752	148101
279	8783	148056
280	8812	148001
281	8846	148007
282	8876	147957
283	8907	147921
284	8940	147915
285	8973	147898
286	9005	147885
287	9035	147838
288	9067	147803
289	9097	147749
290	9128	147720
291	9159	147674
292	9192	147674
293	9226	147688
294	9259	147677
295	9293	147687
296	9322	147618
297	9353	147588
298	9387	147588
299	9418	147557
300	9446	147472
301	9478	147455
302	9511	147441
303	9545	147445
304	9575	147399
305	9606	147355
306	9636	147309
307	9667	147267
308	9699	147249
309	9730	147217
310	9762	147190
311	9792	147144
312	9823	147108
313	9857	147115
314	9890	147105
315	9923	147087
316	9953	147038
317	9985	147021
318	10014	146949
319	10043	146887
320	10075	146862
321	10107	146835
322	10138	146801
323	10170	146788
324	10203	146768
325	10233	146722
326	10265	146702
327	10298	146687
328	10331	146682
329	10364	146668
330	10394	146622
331	10426	146597
332	10458	146574
333	10489	146539
334	10522	146528
335	10554	146507
336	10587	146503
337	10619	146479
338	10652	146462
339	10684	146433
340	10716	146415
341	10746	146367
342	10777	146325
343	10799	146164
344	10828	146110
345	10861	146094
346	10895	146097
347	10925	146051
348	10959	146047
349	10979	145868
350	11011	145850
351	11041	145797
352	11073	145774
353	11103	145722
354	11134	145688
355	11164	145645
356	11200	145663
357	11233	145658
358	11262	145594
359	11294	145579
360	11325	145531
361	11355	145482
362	11385	145436
363	11416	145407
364	11436	145231
365	11467	145195
366	11497	145149
367	11527	145102
368	11559	145074
369	11590	145036
370	11623	145025
371	11655	145001
372	11686	144968
373	11719	144963
374	11751	144934
375	11783	144905
376	11814	144875
377	11847	144863
378	11878	144828
379	11910	144804
380	11942	144784
381	11970	144707
382	12001	144680
383	12033	144657
384	12066	144640
385	12098	144612
386	12128	144566
387	12159	144535
388	12189	144487
389	12223	144482
390	12256	144479
391	12287	144446
392	12317	144399
393	12349	144374
394	12380	144331
395	12413	144325
396	12443	144277
397	12458	144051
398	12490	144029
399	12520	143981
400	12552	143958
401	12584	143939
402	12617	143922
403	12647	143883
404	12675	143808
405	12709	143809
406	12740	143775
407	12773	143766
408	12806	143749
409	12838	143725
410	12871	143720
411	12904	143707
412	12935	143672
413	12966	143635
414	12987	143492
415	13017	143445
416	13049	143423
417	13082	143406
418	13114	143378
419	13145	143347
420	13176	143313
421	13205	143259
422	13238	143244
423	13270	143219
424	13300	143179
425	13334	143178
426	13367	143162
427	13398	143121
428	13428	143077
429	13460	143061
430	13494	143053
431	13524	143010
432	13552	142938
433	13583	142908
434	13616	142899
435	13648	142869
436	13678	142826
437	13712	142823
438	13745	142810
439	13778	142794
440	13811	142785
441	13842	142750
442	13874	142722
443	13905	142691
444	13938	142678
445	13971	142664
446	14004	142644
447	14031	142567
448	14061	142529
449	14091	142484
450	14122	142450
451	14152	142401
452	14182	142359
453	14212	142314
454	14243	142276
455	14275	142254
456	14307	142233
457	14338	142192
458	14370	142169
459	14400	142122
460	14430	142078
461	14461	142043
462	14491	142002
463	14526	142005
464	14556	141962
465	14586	141919
466	14617	141890
467	14649	141863
468	14685	141871
469	14717	141847
470	14749	141826
471	14782	141808
472	14827	141914
473	14859	141886
474	14892	141870
475	14925	141852
476	14955	141807
477	14987	141784
478	15018	141748
479	15047	141700
480	15077	141657
481	15109	141624
482	15138	141579
483	15170	141546
484	15202	141527
485	15234	141495
486	15264	141451
487	15291	141388
488	15323	141360
489	15356	141338
490	15389	141326
491	15419	141286
492	15453	141277
493	15485	141248
494	15517	141226
495	15547	141181
496	15582	141179
497	15616	141175
498	15646	141132
499	15677	141098
500	15708	141059
501	15739	141026
502	15769	140981
503	15799	140939
504	15831	140914
505	15861	140876
506	15895	140868
507	15926	140826
508	15960	140818
509	15993	140805
510	16025	140783
511	16055	140740
512	16088	140719
513	16119	140681
514	16149	140642
515	16182	140621
516	16213	140588
517	16242	140542
518	16272	140497
519	16305	140476
520	16335	140432
521	16365	140392
522	16399	140383
523	16432	140365
524	16463	140331
525	16493	140286
526	16526	140269
527	16557	140234
528	16591	140232
529	16624	140209
530	16654	140168
531	16685	140136
532	16715	140088
533	16745	140047
534	16779	140038
535	16809	139999
536	16841	139968
537	16872	139935
538	16901	139882
539	16931	139840
540	16963	139812
541	16995	139786
542	17026	139751
543	17058	139728
544	17088	139688
545	17118	139646
546	17140	139534
547	17171	139505
548	17203	139477
549	17233	139433
550	17265	139407
551	17298	139392
552	17332	139384
553	17364	139353
554	17396	139325
555	17428	139303
556	17458	139262
557	17489	139225
558	17520	139188
559	17551	139155
560	17581	139118
561	17614	139095
562	17642	139040
563	17673	139003
564	17705	138978
565	17737	138955
566	17767	138915
567	17798	138877
568	17828	138833
569	17855	138768
570	17885	138732
571	17918	138714
572	17949	138678
573	17981	138652
574	18015	138637
575	18046	138603
576	18078	138577
577	18107	138532
578	18138	138499
579	18168	138454
580	18197	138405
581	18230	138392
582	18263	138372
583	18297	138358
584	18330	138338
585	18361	138305
586	18390	138261
587	18417	138197
588	18450	138178
589	18481	138144
590	18514	138121
591	18545	138087
592	18575	138045
593	18608	138032
594	18641	138010
595	18671	137970
596	18705	137954
597	18738	137940
598	18769	137900
599	18800	137867
600	18827	137804
601	18858	137775
602	18889	137736
603	18920	137704
604	18953	137684
605	18984	137656
606	19015	137617
607	19047	137592
608	19079	137568
609	19108	137522
610	19142	137504
611	19174	137477
612	19206	137450
613	19235	137407
614	19266	137371
615	19300	137355
616	19329	137313
617	19358	137261
618	19390	137235
619	19419	137189
620	19451	137164
621	19481	137122
622	19513	137097
623	19543	137055
624	19575	137026
625	19609	137016
626	19642	136992
627	19672	136956
628	19704	136927
629	19734	136888
630	19764	136847
631	19796	136820
632	19829	136800
633	19859	136760
634	19890	136725
635	19921	136692
636	19952	136660
637	19984	136634
638	20015	136599
639	20048	136580
640	20080	136556
641	20114	136541
642	20144	136501
643	20178	136485
644	20209	136452
645	20241	136425
646	20274	136403
647	20302	136349
648	20333	136321
649	20366	136297
650	20399	136279
651	20429	136239
652	20459	136198
653	20489	136157
654	20519	136116
655	20551	136091
656	20581	136053
657	20611	136012
658	20643	135986
659	20674	135953
660	20705	135914
661	20737	135887
662	20766	135846
663	20798	135819
664	20828	135778
665	20861	135757
666	20894	135736
667	20926	135708
668	20956	135669
669	20990	135652
670	21018	135604
671	21051	135583
672	21082	135547
673	21112	135506
674	21145	135485
675	21177	135460
676	21207	135419
677	21239	135392
678	21271	135368
679	21301	135327
680	21334	135303
681	21364	135264
682	21397	135244
683	21431	135231
684	21465	135214
685	21497	135188
686	21527	135149
687	21559	135124
688	21591	135092
689	21624	135072
690	21657	135050
691	21687	135013
692	21718	134980
693	21750	134951
694	21781	134919
695	21813	134893
696	21844	134861
697	21877	134838
698	21911	134823
699	21942	134787
700	21976	134772
701	22007	134738
702	22038	134708
703	22071	134686
704	22101	134646
705	22134	134624
706	22165	134592
707	22195	134552
708	22227	134525
709	22257	134486
710	22288	134453
711	22319	134420
712	22351	134392
713	22385	134375
714	22415	134335
715	22448	134315
716	22480	134289
717	22512	134258
718	22542	134223
719	22573	134184
720	22603	134145
721	22632	134105
722	22666	134085
723	22697	134053
724	22729	134025
725	22762	134001
726	22792	133965
727	22825	133941
728	22855	133906
729	22888	133884
730	22918	133844
731	22949	133808
732	22980	133777
733	23014	133762
734	23048	133744
735	23078	133705
736	23109	133670
737	23141	133645
738	23171	133603
739	23202	133568
740	23234	133545
741	23264	133505
742	23295	133472
743	23329	133452
744	23362	133430
745	23394	133404
746	23426	133376
747	23458	133352
748	23490	133320
749	23519	133278
750	23551	133250
751	23583	133219
752	23613	133181
753	23644	133148
754	23674	133110
755	23704	133073
756	23734	133034
757	23766	133005
758	23798	132979
759	23830	132951
760	23862	132922
761	23891	132878
762	23921	132840
763	23953	132808
764	23984	132778
765	24015	132742
766	24045	132706
767	24077	132676
768	24109	132647
769	24139	132608
770	24173	132593
771	24206	132573
772	24239	132549
773	24272	132528
774	24304	132499
775	24336	132472
776	24365	132429
777	24398	132402
778	24429	132371
779	24463	132355
780	24494	132318
781	24524	132281
782	24554	132242
783	24586	132217
784	24619	132190
785	24649	132154
786	24680	132120
787	24714	132102
788	24744	132065
789	24777	132043
790	24808	132010
791	24842	131989
792	24875	131971
793	24908	131947
794	24939	131911
795	24971	131885
796	25005	131869
797	25038	131844
798	25067	131798
799	25100	131775
800	25130	131737
801	25161	131707
802	25195	131686
803	25225	131649
804	25254	131604
805	25287	131583
806	25318	131547
807	25352	131531
808	25385	131508
809	25417	131481
810	25449	131452
811	25483	131432
812	25512	131393
813	25545	131367
814	25573	131318
815	25604	131284
816	25636	131258
817	25669	131234
818	25704	131220
819	25734	131183
820	25764	131143
821	25797	131121
822	25829	131092
823	25859	131054
824	25889	131016
825	25919	130980
826	25953	130959
827	25985	130930
828	26016	130899
829	26048	130870
830	26082	130850
831	26112	130814
832	26145	130790
833	26176	130754
834	26206	130718
835	26240	130700
836	26272	130672
837	26305	130647
838	26335	130610
839	26366	130577
840	26397	130545
841	26431	130527
842	26462	130490
843	26496	130475
844	26529	130448
845	26559	130412
846	26589	130372
847	26622	130347
848	26652	130310
849	26684	130283
850	26714	130244
851	26744	130205
852	26774	130168
853	26806	130141
854	26838	130109
855	26868	130073
856	26899	130040
857	26931	130011
858	26961	129974
859	26994	129948
860	27026	129919
861	27060	129901
862	27092	129874
863	27122	129838
864	27154	129808
865	27184	129769
866	27215	129734
867	27247	129709
868	27278	129674
869	27308	129638
870	27342	129619
871	27374	129591
872	27404	129552
873	27436	129522
874	27470	129502
875	27500	129463
876	27531	129430
877	27562	129399
878	27593	129366
879	27623	129327
880	27653	129289
881	27684	129258
882	27714	129219
883	27747	129195
884	27779	129167
885	27810	129135
886	27843	129109
887	27874	129078
888	27905	129045
889	27938	129020
890	27970	128991
891	28003	128964
892	28035	128939
893	28067	128907
894	28101	128888
895	28132	128858
896	28166	128836
897	28197	128802
898	28228	128769
899	28259	128737
900	28289	128699
901	28318	128657
902	28348	128619
903	28382	128600
904	28413	128568
905	28443	128530
906	28472	128485
907	28501	128445
908	28534	128420
909	28564	128381
910	28596	128353
911	28628	128326
912	28659	128294
913	28689	128255
914	28720	128222
915	28753	128198
916	28784	128164
917	28819	128151
918	28851	128122
919	28882	128087
920	28916	128067
921	28947	128032
922	28978	128001
923	29010	127971
924	29042	127943
925	29074	127915
926	29104	127877
927	29136	127851
928	29167	127814
929	29200	127790
930	29230	127753
931	29261	127720
932	29293	127692
933	29323	127654
934	29354	127620
935	29385	127588
936	29417	127560
937	29449	127529
938	29479	127494
939	29511	127466
940	29544	127438
941	29574	127402
942	29604	127364
943	29635	127330
944	29667	127303
945	29697	127266
946	29727	127228
947	29754	127179
948	29784	127142
949	29815	127107
950	29845	127069
951	29879	127050
952	29912	127026
953	29942	126989
954	29974	126961
955	30008	126939
956	30040	126911
957	30071	126879
958	30106	126861
959	30132	126809
960	30164	126778
961	30197	126755
962	30228	126722
963	30259	126686
964	30287	126642
965	30321	126620
966	30351	126583
967	30381	126548
968	30415	126528
969	30448	126503
970	30478	126466
971	30510	126438
972	30542	126406
973	30573	126375
974	30605	126345
975	30634	126304
976	30665	126270
977	30698	126247
978	30730	126217
979	30763	126194
980	30797	126170
981	30828	126140
982	30859	126107
983	30894	126087
984	30926	126061
985	30959	126035
986	30990	126001
987	31023	125978
988	31054	125944
989	31084	125908
990	31115	125875
991	31148	125850
992	31180	125821
993	31213	125795
994	31244	125764
995	31275	125731
996	31304	125690
997	31337	125664
998	31368	125629
999	31401	125606
1000	31435	125584
1001	31469	125562
1002	31504	125547
1003	31535	125515
1004	31569	125493
1005	31599	125456
1006	31629	125419
1007	31660	125386
1008	31692	125356
1009	31722	125321
1010	31756	125299
1011	31786	125262
1012	31819	125237
1013	31851	125205
1014	31879	125162
1015	31912	125137
1016	31945	125110
1017	31977	125081
1018	32010	125057
1019	32042	125028
1020	32075	125002
1021	32107	124973
1022	32139	124944
1023	32172	124919
1024	32205	124892
1025	32236	124861
1026	32269	124836
1027	32304	124817
1028	32334	124780
1029	32367	124754
1030	32399	124727
